cercle,region,total_schools,closed_schools,pct_closed,total_conflict_events,fatalities,population,events_per_100k,fatalities_per_100k,EDI_score,risk_tier,data_coverage
Ménaka,Gao,10,8,80.0,204,893,67119,303.94,1330.47,0.537,Critical,Full
Tombouctou,Tombouctou,11,11,100.0,142,175,156936,90.48,111.51,0.53,Critical,Full
Bourem,Gao,4,4,100.0,57,223,143418,39.74,155.49,0.517,Critical,Partial
Bankass,Mopti,30,29,96.67,236,857,326346,72.32,262.6,0.514,Critical,Full
Diré,Tombouctou,9,9,100.0,23,52,135161,17.02,38.47,0.506,Critical,Partial
Youwarou,Mopti,7,7,100.0,21,45,133759,15.7,33.64,0.506,High,Partial
Banamba,Koulikoro,2,2,100.0,24,121,235421,10.19,51.4,0.505,Data-Limited,Limited
Yorosso,Sikasso,7,7,100.0,38,21,260812,14.57,8.05,0.504,High,Partial
Djenné,Mopti,33,31,93.94,186,832,256877,72.41,323.89,0.503,High,Full
Koutiala,Sikasso,28,28,100.0,41,266,715430,5.73,37.18,0.503,High,Full
Bafoulabe,Kayes,2,2,100.0,8,3,287979,2.78,1.04,0.501,Data-Limited,Limited
Bla,Ségou,5,5,100.0,10,1,349644,2.86,0.29,0.501,High,Partial
Kayes,Kayes,1,1,100.0,13,20,632503,2.06,3.16,0.501,Data-Limited,Limited
Sikasso,Sikasso,6,6,100.0,26,33,905895,2.87,3.64,0.501,High,Partial
Abeibara,Kidal,0,0,0,114,808,12690,898.35,6367.22,0.5,High,Conflict-only
Koulikoro,Koulikoro,42,41,97.62,8,4,259586,3.08,1.54,0.489,High,Full
Ansongo,Gao,5,4,80.0,314,1311,162637,193.07,806.09,0.485,High,Partial
Koro,Mopti,191,180,94.24,72,188,446902,16.11,42.07,0.477,High,Full
Kita,Kayes,10,9,90.0,20,31,533110,3.75,5.81,0.451,High,Full
San,Ségou,494,436,88.26,21,32,411190,5.11,7.78,0.443,High,Full
Douentza,Mopti,14,11,78.57,239,882,303974,78.63,290.16,0.426,High,Full
Kadiolo,Sikasso,11,9,81.82,1,0,300013,0.33,0.0,0.409,High,Full
Bandiagara,Mopti,3,2,66.67,380,990,386346,98.36,256.25,0.371,Medium,Partial
Nara,Koulikoro,1735,1034,59.6,141,575,298156,47.29,192.85,0.319,Medium,Full
Kati,Koulikoro,10,6,60.0,23,20,1179233,1.95,1.7,0.301,Medium,Full
Gao,Gao,1813,947,52.23,315,690,295236,106.69,233.71,0.3,Medium,Full
Mopti,Mopti,2,1,50.0,237,480,454689,52.12,105.57,0.269,Data-Limited,Limited
Kidal,Kidal,0,0,0,146,242,41248,353.96,586.7,0.122,Low,Conflict-only
Tessalit,Kidal,0,0,0,70,54,19665,355.96,274.6,0.11,Low,Conflict-only
Macina,Ségou,0,0,0,242,662,290974,83.17,227.51,0.032,Data-Limited,Conflict-only
Niono,Ségou,0,0,0,345,976,449717,76.71,217.03,0.03,Data-Limited,Conflict-only
Tin-Essako,Kidal,0,0,0,9,12,9887,91.03,121.37,0.03,Data-Limited,Conflict-only
Niafunké,Tombouctou,0,0,0,114,378,216239,52.72,174.81,0.022,Data-Limited,Conflict-only
Gourma-Rharous,Tombouctou,0,0,0,75,154,136852,54.8,112.53,0.02,Data-Limited,Conflict-only
Goundam,Tombouctou,0,0,0,108,142,186519,57.9,76.13,0.019,Data-Limited,Conflict-only
Ténenkou,Mopti,6,0,0.0,83,281,200810,41.33,139.93,0.017,Low,Partial
Tominian,Ségou,0,0,0,75,187,272550,27.52,68.61,0.01,Data-Limited,Conflict-only
Diéma,Kayes,0,0,0,29,51,261017,11.11,19.54,0.004,Data-Limited,Conflict-only
Ségou,Ségou,0,0,0,91,226,857987,10.61,26.34,0.004,Data-Limited,Conflict-only
Kangaba,Koulikoro,0,0,0,12,24,123744,9.7,19.39,0.003,Data-Limited,Conflict-only
Kolokani,Koulikoro,0,0,0,23,72,286565,8.03,25.13,0.003,Data-Limited,Conflict-only
Yanfolila,Sikasso,0,0,0,24,6,262182,9.15,2.29,0.003,Data-Limited,Conflict-only
Bamako,Bamako,0,0,0,28,98,2231344,1.25,4.39,0.001,Data-Limited,Conflict-only
Baraouéli,Ségou,0,0,0,6,12,250040,2.4,4.8,0.001,Data-Limited,Conflict-only
Kéniéba,Kayes,0,0,0,6,17,242871,2.47,7.0,0.001,Data-Limited,Conflict-only
Kolondieba,Sikasso,0,0,0,4,5,248309,1.61,2.01,0.001,Data-Limited,Conflict-only
Nioro,Kayes,0,0,0,12,19,282160,4.25,6.73,0.001,Data-Limited,Conflict-only
Yélimané,Kayes,0,0,0,6,9,217564,2.76,4.14,0.001,Data-Limited,Conflict-only
Bougouni,Sikasso,0,0,0,9,3,565175,1.59,0.53,0.0,Data-Limited,Conflict-only
Dioila,Koulikoro,0,0,0,9,13,602633,1.49,2.16,0.0,Data-Limited,Conflict-only
